 Parameters used:

First geneneration spectra extracted for
excitation energies between  8500.-    0. keV
corresponding to y-channels   210 -   40
 Number of spectra=  171
 Ax0 = -2000.0 Ax1 =    20.0 Ay0 = -2000.0 Ay1 =    50.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      400.0 keV (ch= 120)
 Upper threshold for statistical gammas:  400.0 keV (ch= 120)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
158  5900.    85294.    36430.    48864. 5.51    1000  1.15  1.75  5.51  1.75  5.23
157  5850.    81229.    35474.    45755. 5.34    1000  1.15  1.78  5.34  1.78  5.06
156  5800.    76613.    33980.    42633. 5.20    1000  1.15  1.80  5.20  1.80  4.94
155  5750.    72849.    33469.    39380. 4.98    1000  1.15  1.85  4.98  1.85  4.72
154  5700.    67415.    32530.    34885. 4.69    1000  1.15  1.93  4.69  1.93  4.44
153  5650.    62181.    31288.    30893. 4.45    1000  1.15  2.01  4.45  2.01  4.22
152  5600.    57859.    31814.    26046. 4.04    1000  1.15  2.22  4.04  2.22  3.82
151  5550.    53167.    31362.    21805. 3.72    1000  1.15  2.44  3.72  2.44  3.52
150  5500.    49435.    30748.    18687. 3.50    1000  1.15  2.65  3.50  2.65  3.30
149  5450.    45909.    29170.    16739. 3.39    1000  1.15  2.74  3.39  2.74  3.20
148  5400.    44885.    28868.    16017. 3.31    1000  1.15  2.80  3.31  2.80  3.13
147  5350.    44228.    28842.    15385. 3.23    1000  1.15  2.87  3.23  2.87  3.05
146  5300.    44288.    28256.    16033. 3.27    1000  1.15  2.76  3.27  2.76  3.08
145  5250.    46847.    30447.    16400. 3.17    1000  1.15  2.86  3.17  2.86  2.99
144  5200.    51082.    33016.    18066. 3.16    1000  1.15  2.83  3.16  2.83  2.97
143  5150.    57066.    36498.    20568. 3.15    1000  1.15  2.77  3.15  2.77  2.97
142  5100.    66183.    42284.    23899. 3.12    1000  1.15  2.77  3.12  2.77  2.94
141  5050.    80331.    51203.    29128. 3.09    1000  1.15  2.76  3.09  2.76  2.91
140  5000.   104456.    66372.    38084. 3.07    1000  1.15  2.74  3.07  2.74  2.88
139  4950.   136612.    87716.    48897. 3.00    1000  1.15  2.79  3.00  2.79  2.82
138  4900.   185410.   119935.    65475. 2.94    1000  1.15  2.83  2.94  2.83  2.76
137  4850.   245000.   158532.    86468. 2.91    1000  1.15  2.83  2.91  2.83  2.73
136  4800.   298931.   192675.   106256. 2.88    1000  1.15  2.81  2.88  2.81  2.70
135  4750.   333531.   211953.   121578. 2.89    1000  1.15  2.74  2.89  2.74  2.71
134  4700.   353711.   220119.   133592. 2.91    1000  1.15  2.65  2.91  2.65  2.73
133  4650.   371410.   225253.   146157. 2.95    1000  1.15  2.54  2.95  2.54  2.76
132  4600.   376401.   225202.   151199. 2.95    1000  1.15  2.49  2.95  2.49  2.76
131  4550.   375631.   224189.   151441. 2.92    1000  1.15  2.48  2.92  2.48  2.73
130  4500.   379826.   225105.   154720. 2.91    1000  1.15  2.45  2.91  2.45  2.71
129  4450.   379665.   224429.   155236. 2.87    1000  1.15  2.45  2.87  2.45  2.68
128  4400.   373268.   221683.   151585. 2.82    1000  1.15  2.46  2.82  2.46  2.63
127  4350.   363007.   217755.   145252. 2.76    1000  1.15  2.50  2.76  2.50  2.57
126  4300.   349819.   211537.   138282. 2.70    1000  1.15  2.53  2.70  2.53  2.51
125  4250.   341618.   205941.   135678. 2.67    1000  1.15  2.52  2.67  2.52  2.48
124  4200.   338774.   203782.   134992. 2.63    1000  1.15  2.51  2.63  2.51  2.45
123  4150.   335781.   200254.   135527. 2.62    1000  1.15  2.48  2.62  2.48  2.43
122  4100.   333475.   197609.   135866. 2.60    1000  1.15  2.45  2.60  2.45  2.41
121  4050.   328884.   193296.   135588. 2.58    1000  1.15  2.43  2.58  2.43  2.39
120  4000.   323836.   189006.   134830. 2.56    1000  1.15  2.40  2.56  2.40  2.37
119  3950.   322312.   187841.   134471. 2.52    1000  1.15  2.40  2.52  2.40  2.33
118  3900.   325245.   186938.   138306. 2.52    1000  1.15  2.35  2.52  2.35  2.32
117  3850.   328952.   188254.   140698. 2.49    1000  1.15  2.34  2.49  2.34  2.30
116  3800.   339276.   192752.   146524. 2.47    1000  1.15  2.32  2.47  2.32  2.27
115  3750.   354121.   198637.   155485. 2.46    1000  1.15  2.28  2.46  2.28  2.26
114  3700.   375502.   209088.   166414. 2.43    1000  1.15  2.26  2.43  2.26  2.24
113  3650.   392757.   213034.   179723. 2.41    1000  1.15  2.19  2.41  2.19  2.21
112  3600.   407205.   219420.   187785. 2.39    1000  1.15  2.17  2.39  2.17  2.19
111  3550.   425943.   228183.   197760. 2.37    1000  1.15  2.15  2.37  2.15  2.17
110  3500.   449204.   238922.   210281. 2.34    1000  1.15  2.14  2.34  2.14  2.14
109  3450.   469319.   247360.   221960. 2.33    1000  1.15  2.11  2.33  2.11  2.12
108  3400.   481481.   251263.   230217. 2.31    1000  1.15  2.09  2.31  2.09  2.11
107  3350.   490273.   253775.   236499. 2.29    1000  1.15  2.07  2.29  2.07  2.08
106  3300.   498952.   256044.   242909. 2.27    1000  1.15  2.05  2.27  2.05  2.06
105  3250.   497955.   253309.   244646. 2.24    1000  1.15  2.04  2.24  2.04  2.04
104  3200.   489222.   246257.   242966. 2.22    1000  1.15  2.01  2.22  2.01  2.01
103  3150.   465650.   232891.   232759. 2.19    1000  1.15  2.00  2.19  2.00  1.98
102  3100.   427162.   211876.   215286. 2.17    1000  1.15  1.98  2.17  1.98  1.96
101  3050.   389575.   191892.   197683. 2.13    1000  1.15  1.97  2.13  1.97  1.92
100  3000.   361655.   177228.   184426. 2.10    1000  1.15  1.96  2.10  1.96  1.89
 99  2950.   338133.   163855.   174277. 2.07    1000  1.15  1.94  2.07  1.94  1.86
 98  2900.   321807.   154516.   167291. 2.04    1000  1.15  1.92  2.04  1.92  1.83
 97  2850.   309391.   147226.   162165. 2.01    1000  1.15  1.91  2.01  1.91  1.79
 96  2800.   292755.   137830.   154925. 1.97    1000  1.15  1.89  1.97  1.89  1.76
 95  2750.   272652.   126046.   146606. 1.96    1000  1.15  1.86  1.96  1.86  1.74
 94  2700.   254764.   115668.   139096. 1.94    1000  1.15  1.83  1.94  1.83  1.72
 93  2650.   244780.   108446.   136334. 1.93    1000  1.15  1.80  1.93  1.80  1.71
 92  2600.   251168.   109598.   141569. 1.90    1000  1.15  1.77  1.90  1.77  1.68
 91  2550.   283675.   121826.   161849. 1.87    1000  1.15  1.75  1.87  1.75  1.65
 90  2500.   322988.   136464.   186524. 1.84    1000  1.15  1.73  1.84  1.73  1.62
